player_name,name_key,in_ballondor,consensus_count,club,league,position,position_group,nationality,club_season_start,mid_season_tranfers,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,Whoscored_Rating
Frenkie de Jong,frenkie de jong,False,3,Barcelona,La Liga,Midfielder,Midfielder,Netherlands,Barcelona,0,26.0,1140.0,2.0,2.0,4.0,0.158,0.158,0.2,0.2,0.7,0.0,0.3,0.8,43.8,95.1,0.0,1.5,0.7,0.5,0.5,0.2,0.0,,,,1,Semi Final,5,6.53
Bruno Fernandes,bruno fernandes,False,3,Manchester United,Premier League,Midfielder,Midfielder,Portugal,Manchester United,0,36.0,3024.0,8.0,10.0,18.0,0.238,0.298,2.7,0.8,1.1,0.1,1.2,2.5,56.1,81.5,1.2,4.5,2.3,0.7,0.9,0.8,0.2,,,,15,Not Qualified,0,7.2
Alessandro Bastoni,alessandro bastoni,False,3,Inter Milan,Serie A,Defender,Defender,Italy,Inter Milan,0,33.0,2422.0,1.0,5.0,6.0,0.037,0.186,0.4,0.2,1.2,0.0,0.2,0.8,61.6,90.5,0.8,4.2,1.4,0.7,1.3,1.4,0.4,,,,2,Final,6,6.88
David Raya,david raya,False,3,Arsenal,Premier League,Goalkeeper,Goalkeeper,Spain,Arsenal,0,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,32.4,70.6,0.0,4.5,0.0,0.1,0.0,0.8,0.0,34.0,71.7,13.0,2,Semi Final,5,6.73
Jules Koundé,jules kounde,False,3,Barcelona,La Liga,Defender,Defender,France,Barcelona,0,32.0,2606.0,2.0,3.0,5.0,0.069,0.104,0.6,0.7,0.6,0.2,0.4,1.0,56.4,88.6,0.3,1.7,2.0,0.6,0.7,1.8,0.2,,,,1,Semi Final,5,6.89
Nicolò Barella,nicolo barella,False,3,Inter Milan,Serie A,Midfielder,Midfielder,Italy,Inter Milan,0,33.0,2467.0,3.0,6.0,9.0,0.109,0.219,1.3,0.7,1.0,0.1,1.3,1.7,52.0,85.1,0.5,2.8,1.5,0.4,0.8,0.5,0.1,,,,2,Final,6,6.95
Bradley Barcola,bradley barcola,False,3,Paris Saint-Germain,Ligue 1,Forward,Forward,France,Paris Saint-Germain,0,34.0,2194.0,14.0,10.0,24.0,0.574,0.41,2.2,1.0,0.6,0.2,0.6,1.5,25.8,83.4,0.2,0.3,0.8,0.6,0.9,0.3,0.1,,,,1,Winner,7,7.25
Trent Alexander-Arnold,trent alexanderarnold,False,3,Liverpool,Premier League,Defender,Defender,England,Liverpool,0,33.0,2378.0,3.0,6.0,9.0,0.114,0.227,1.4,0.5,0.3,0.0,0.5,1.6,49.0,77.7,1.2,3.8,2.2,0.9,0.3,1.5,0.3,,,,1,Round of 16,3,7.06
Bruno Guimarães,bruno guimaraes,False,3,Newcastle,Premier League,Midfielder,Midfielder,Brazil,Newcastle,0,38.0,3286.0,5.0,6.0,11.0,0.137,0.164,1.2,0.9,2.8,0.1,2.0,1.4,46.3,83.7,0.2,2.3,2.2,0.8,1.7,1.1,0.3,,,,5,Not Qualified,0,6.98
Nico Williams,nico williams,False,3,Athletic Club,La Liga,Forward,Forward,Spain,Athletic Club,0,29.0,2001.0,5.0,5.0,10.0,0.225,0.225,1.9,2.3,1.2,0.3,1.6,1.4,20.0,79.2,0.9,0.5,1.0,0.2,0.6,0.1,0.0,,,,4,Not Qualified,0,6.98
Yann Sommer,yann sommer,False,3,Inter Milan,Serie A,Goalkeeper,Goalkeeper,Switzerland,Inter Milan,0,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,86.7,0.0,4.8,0.0,0.0,0.0,0.7,0.0,32.0,72.4,13.0,2,Final,6,6.77
Eberechi Eze,eberechi eze,False,3,Crystal Palace,Premier League,Midfielder,Midfielder,England,Crystal Palace,0,34.0,2604.0,8.0,8.0,16.0,0.276,0.276,3.0,1.8,1.8,0.8,1.0,1.7,26.9,81.5,0.9,1.1,1.1,0.3,0.4,0.2,0.0,,,,12,Not Qualified,0,7.09
Bryan Mbeumo,bryan mbeumo,False,3,Brentford,Premier League,Forward,Forward,Cameroon,Brentford,0,38.0,3417.0,20.0,7.0,27.0,0.527,0.184,2.2,1.4,1.2,0.3,1.2,1.8,28.7,73.9,1.3,0.8,1.3,0.4,0.7,1.3,0.1,,,,10,Not Qualified,0,7.33
Victor Osimhen,victor osimhen,False,3,Galatasaray,Super Lig,Forward,Forward,Nigeria,Galatasaray,0,29.0,2296.0,26.0,5.0,31.0,1.019,0.196,4.7,0.8,1.7,1.4,1.2,1.1,11.8,66.9,0.2,0.2,0.2,0.3,1.0,0.8,0.0,,,,1,Not Qualified,0,7.77
Pau Cubarsí,pau cubarsi,False,3,Barcelona,La Liga,Defender,Defender,Spain,Barcelona,0,35.0,2621.0,0.0,3.0,3.0,0.0,0.103,0.2,0.2,0.3,0.0,0.0,0.3,74.0,93.6,0.0,2.7,1.0,0.5,0.7,2.5,0.3,,,,1,Semi Final,5,6.73
Federico Dimarco,federico dimarco,False,3,Inter Milan,Serie A,Defender,Defender,Italy,Inter Milan,0,33.0,2163.0,4.0,7.0,11.0,0.166,0.291,1.7,0.1,0.3,0.2,0.3,1.5,30.2,84.1,1.7,1.1,0.8,0.4,0.6,0.7,0.1,,,,2,Final,6,6.91
Rafael Leão,rafael leao,False,3,AC Milan,Serie A,Forward,Forward,Portugal,AC Milan,0,34.0,2332.0,8.0,8.0,16.0,0.309,0.309,1.9,1.7,1.5,0.2,1.1,1.7,22.7,77.0,0.5,0.7,0.5,0.2,0.6,0.1,0.0,,,,8,Knockout phase play-offs,2,7.21
Moisés Caicedo,moises caicedo,False,2,Chelsea,Premier League,Midfielder,Midfielder,Ecuador,Chelsea,0,38.0,3356.0,1.0,2.0,3.0,0.027,0.054,0.5,0.8,1.5,0.0,0.7,0.8,56.7,90.2,0.1,2.5,3.0,1.3,1.8,1.4,0.3,,,,4,Not Qualified,0,7.02
Jurriën Timber,jurrien timber,False,2,Arsenal,Premier League,Defender,Defender,Netherlands,Arsenal,0,30.0,2423.0,1.0,3.0,4.0,0.037,0.111,0.5,0.8,1.0,0.2,0.8,0.6,39.4,87.9,0.1,0.4,1.9,0.7,1.0,1.4,0.1,,,,2,Semi Final,5,6.78
Martin Ødegaard,martin degaard,False,2,Arsenal,Premier League,Midfielder,Midfielder,Norway,Arsenal,0,30.0,2332.0,3.0,8.0,11.0,0.116,0.309,1.6,0.8,0.8,0.0,1.3,2.1,46.3,86.9,0.6,1.3,0.6,0.2,0.4,0.2,0.0,,,,2,Semi Final,5,6.9
Rodri,rodri,False,2,Manchester City,Premier League,Midfielder,Midfielder,Spain,Manchester City,0,3.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,22.7,94.1,0.0,1.7,0.7,0.3,0.3,0.3,0.0,,,,3,Knockout phase play-offs,2,6.39
Cristiano Ronaldo,cristiano ronaldo,False,2,Al Nassr,Saudi Pro League,Forward,Forward,Portugal,Al Nassr,0,30.0,,25.0,3.0,28.0,,,,,,,,,,,,,,,,,,,,,3,Not Qualified,0,
Alejandro Balde,alejandro balde,False,2,Barcelona,La Liga,Defender,Defender,Spain,Barcelona,0,32.0,2292.0,0.0,4.0,4.0,0.0,0.157,0.4,1.4,1.2,0.0,0.8,0.8,39.1,91.2,0.4,0.6,0.6,0.2,0.5,0.6,0.2,,,,1,Semi Final,5,6.73
Willian Pacho,willian pacho,False,2,Paris Saint-Germain,Ligue 1,Defender,Defender,Ecuador,Paris Saint-Germain,0,28.0,2131.0,0.0,1.0,1.0,0.0,0.042,0.1,0.1,0.3,0.0,0.1,0.1,69.8,94.9,0.0,1.4,2.0,1.4,0.7,3.2,0.8,,,,1,Winner,7,6.88
Alphonso Davies,alphonso davies,False,2,Bayern Munich,Bundesliga,Defender,Defender,Canada,Bayern Munich,0,19.0,1562.0,1.0,2.0,3.0,0.058,0.115,0.9,1.6,1.4,0.2,1.0,1.4,60.1,91.1,0.1,0.5,1.6,0.7,0.4,1.1,0.1,,,,1,Semi Final,5,7.08
Sandro Tonali,sandro tonali,False,2,Newcastle,Premier League,Midfielder,Midfielder,Italy,Newcastle,0,36.0,2632.0,4.0,2.0,6.0,0.137,0.068,1.0,0.6,1.4,0.1,0.6,0.8,40.6,85.9,0.4,1.4,1.4,0.9,1.0,0.8,0.3,,,,5,Not Qualified,0,6.83
Rodrygo,rodrygo,False,2,Real Madrid,La Liga,Forward,Forward,Brazil,Real Madrid,0,30.0,1938.0,6.0,5.0,11.0,0.279,0.232,1.8,1.6,1.2,0.0,0.5,1.6,33.0,90.9,0.7,0.4,0.7,0.4,0.3,0.2,0.0,,,,2,Quarter Final,4,7.13
Mike Maignan,mike maignan,False,2,AC Milan,Serie A,Goalkeeper,Goalkeeper,France,AC Milan,0,37.0,3295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,37.1,84.7,0.0,5.5,0.0,0.0,0.0,0.7,0.0,41.0,70.5,13.0,8,Knockout phase play-offs,2,6.68
Marcus Thuram,marcus thuram,False,2,Inter Milan,Serie A,Forward,Forward,France,Inter Milan,0,32.0,2299.0,14.0,4.0,18.0,0.548,0.157,2.0,0.8,1.1,0.4,0.9,1.3,17.0,75.0,0.1,0.1,0.6,0.1,0.9,0.5,0.1,,,,2,Final,6,7.24
Martín Zubimendi,martin zubimendi,False,2,Real Sociedad,La Liga,Midfielder,Midfielder,Spain,Real Sociedad,0,36.0,2962.0,2.0,1.0,3.0,0.061,0.03,0.7,0.5,0.5,0.0,0.5,0.5,48.7,84.4,0.1,2.6,2.0,1.2,1.2,2.1,0.4,,,,11,Not Qualified,0,6.78
Aurélien Tchouaméni,aurelien tchouameni,False,2,Real Madrid,La Liga,Midfielder,Midfielder,France,Real Madrid,0,32.0,2691.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.8,0.0,0.3,0.2,62.6,92.9,0.0,2.0,1.5,1.4,0.8,2.8,0.8,,,,2,Quarter Final,4,6.88
Antoine Semenyo,antoine semenyo,False,2,Bournemouth,Premier League,Forward,Forward,Ghana,Bournemouth,0,37.0,3210.0,11.0,5.0,16.0,0.308,0.14,3.4,1.9,1.0,0.4,2.1,1.2,26.9,78.2,0.2,0.5,1.5,0.3,2.0,0.9,0.2,,,,9,Not Qualified,0,7.2
Josko Gvardiol,josko gvardiol,False,2,Manchester City,Premier League,Defender,Defender,Croatia,Manchester City,0,37.0,3280.0,5.0,0.0,5.0,0.137,0.0,1.1,0.7,0.7,0.1,0.4,0.7,68.3,91.4,0.1,1.8,1.6,1.2,0.4,3.0,0.5,,,,3,Knockout phase play-offs,2,7.0
Jan Oblak,jan oblak,False,2,Atletico Madrid,La Liga,Goalkeeper,Goalkeeper,Slovenia,Atletico Madrid,0,36.0,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,21.2,76.3,0.0,3.9,0.0,0.0,0.0,0.7,0.0,30.0,74.1,15.0,3,Round of 16,3,6.68
Álex Grimaldo,alex grimaldo,False,2,Bayer Leverkusen,Bundesliga,Defender,Defender,Spain,Bayer Leverkusen,0,32.0,2647.0,2.0,7.0,9.0,0.068,0.238,1.4,0.6,0.8,0.3,0.4,2.3,54.0,86.4,2.2,1.4,0.8,0.5,0.5,1.2,0.1,,,,2,Round of 16,3,7.02
Marc Cucurella,marc cucurella,False,2,Chelsea,Premier League,Defender,Defender,Spain,Chelsea,0,36.0,2991.0,5.0,1.0,6.0,0.15,0.03,0.7,0.1,1.1,0.1,0.2,0.5,45.4,88.7,0.1,1.2,1.9,0.8,1.0,2.2,0.4,,,,4,Not Qualified,0,6.68
Antonio Rüdiger,antonio rudiger,False,2,Real Madrid,La Liga,Defender,Defender,Germany,Real Madrid,0,29.0,2292.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.5,0.1,0.1,0.2,63.4,92.2,0.0,3.9,0.7,0.3,0.5,3.2,0.5,,,,2,Quarter Final,4,6.62
