player_id,player_name,nationality,position_group,club_2024_25,league_2024_25,club_season_start,mid_season_tranfers,club_2025_26,league_2025_26,transferred,moved_up,ig_followers,engagement_rate,google_trends,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,Whoscored_Rating,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,club_ig_followers,club_ig_followers_2024_25,club_ig_followers_2025_26,in_ballondor,consensus_count
P024,Denzel Dumfries,Netherlands,Defender,Inter Milan,Serie A,Inter Milan,0,Inter Milan,Serie A,0,0,2079545.0,15.36,1.34,29.0,1952.0,7.0,2.0,9.0,0.323,0.092,1.2,0.4,0.6,0.2,0.5,0.7,21.6,76.7,0.5,0.6,0.9,0.2,1.9,0.8,0.3,6.88,,,,2,Final,6,14504939,14504939,14504939,True,3
P025,Erling Haaland,Norway,Forward,Manchester City,Premier League,Manchester City,0,Manchester City,Premier League,0,0,60314996.0,7.03,16.63,31.0,2742.0,22.0,3.0,25.0,0.722,0.098,3.5,0.4,0.4,0.1,0.9,0.9,12.1,67.5,0.0,0.1,0.4,0.2,0.8,0.7,0.0,7.32,,,,3,Knockout phase play-offs,2,56452450,56452450,56452450,True,3
P026,Declan Rice,England,Midfielder,Arsenal,Premier League,Arsenal,0,Arsenal,Premier League,0,0,6886142.0,11.23,3.48,35.0,2833.0,4.0,7.0,11.0,0.127,0.222,1.4,0.4,0.5,0.1,0.9,1.7,42.2,89.8,1.3,1.7,1.5,0.7,0.6,1.4,0.4,7.09,,,,2,Semi Final,5,32288446,32288446,32288446,True,3
P027,Virgil van Dijk,Netherlands,Defender,Liverpool,Premier League,Liverpool,0,Liverpool,Premier League,0,0,17552646.0,2.71,4.34,37.0,3330.0,3.0,1.0,4.0,0.081,0.027,0.7,0.1,0.4,0.0,0.1,0.3,79.0,91.7,0.0,4.2,1.0,1.5,0.5,5.1,0.4,7.07,,,,1,Round of 16,3,48467485,48467485,48467485,True,3
P028,Florian Wirtz,Germany,Midfielder,Bayer Leverkusen,Bundesliga,Bayer Leverkusen,0,Liverpool,Premier League,1,1,5242719.0,6.69,6.34,31.0,2357.0,10.0,12.0,22.0,0.382,0.458,2.5,2.6,1.3,0.4,1.5,1.8,51.3,82.3,0.5,1.1,1.0,0.3,0.7,0.2,0.1,7.5,,,,2,Round of 16,3,4602479,4602479,48467485,True,3
P029,Michael Olise,France,Forward,Bayern Munich,Bundesliga,Bayern Munich,0,Bayern Munich,Bundesliga,0,0,8856498.0,49.3,2.5,34.0,2348.0,12.0,15.0,27.0,0.46,0.575,2.5,2.1,1.9,0.1,0.9,2.7,41.4,86.2,1.1,0.8,1.1,0.2,0.6,0.4,0.6,7.74,,,,1,Quarter Final,4,44903622,44903622,44903622,True,3
P030,Bukayo Saka,England,Forward,Arsenal,Premier League,Arsenal,0,Arsenal,Premier League,0,0,8137148.0,7.53,5.33,25.0,1737.0,6.0,10.0,16.0,0.311,0.518,2.7,1.6,1.6,0.3,1.6,2.3,23.9,84.3,1.5,0.3,1.2,0.1,0.6,0.2,0.0,7.37,,,,2,Semi Final,5,32288446,32288446,32288446,False,3
P031,Gabriel Magalhães,Brazil,Defender,Arsenal,Premier League,Arsenal,0,Arsenal,Premier League,0,0,4003911.0,15.17,1.32,28.0,2366.0,3.0,1.0,4.0,0.114,0.038,0.8,0.1,0.7,0.0,0.1,0.5,58.1,90.7,0.0,2.0,0.9,0.6,0.7,3.2,1.0,6.91,,,,2,Semi Final,5,32288446,32288446,32288446,False,3
P032,Julián Álvarez,Argentina,Forward,Atletico Madrid,La Liga,Atletico Madrid,0,Atletico Madrid,La Liga,0,0,20399287.0,6.45,5.1,37.0,2521.0,17.0,4.0,21.0,0.607,0.143,2.0,0.9,0.2,0.2,1.1,1.1,24.0,78.5,0.4,0.9,0.7,0.1,0.7,0.3,0.0,7.01,,,,3,Round of 16,3,17865213,17865213,17865213,False,3
P033,William Saliba,France,Defender,Arsenal,Premier League,Arsenal,0,Arsenal,Premier League,0,0,3028562.0,11.53,2.05,35.0,3042.0,2.0,0.0,2.0,0.059,0.0,0.2,0.3,0.5,0.0,0.2,0.2,72.8,94.6,0.0,2.0,1.8,0.6,0.8,3.4,0.4,6.82,,,,2,Semi Final,5,32288446,32288446,32288446,False,3
