player_name,trends_link
Rafael Leão,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRafael%20Le%C3%A3o
Moisés Caicedo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMois%C3%A9s%20Caicedo
Jurriën Timber,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJurri%C3%ABn%20Timber
Martin Ødegaard,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMartin%20%C3%98degaard
Rodri,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRodri
Alejandro Balde,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlejandro%20Balde
Willian Pacho,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CWillian%20Pacho
Alphonso Davies,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlphonso%20Davies
Sandro Tonali,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CSandro%20Tonali
Rodrygo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRodrygo
Mike Maignan,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMike%20Maignan
Marcus Thuram,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMarcus%20Thuram
Martín Zubimendi,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMart%C3%ADn%20Zubimendi
Aurélien Tchouaméni,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAur%C3%A9lien%20Tchouam%C3%A9ni
Antoine Semenyo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAntoine%20Semenyo
Josko Gvardiol,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJosko%20Gvardiol
Jan Oblak,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJan%20Oblak
Álex Grimaldo,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2C%C3%81lex%20Grimaldo
Marc Cucurella,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMarc%20Cucurella
Antonio Rüdiger,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAntonio%20R%C3%BCdiger
Rúben Dias,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CR%C3%BAben%20Dias
Arda Güler,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CArda%20G%C3%BCler
