sample,spec,predictors,k,n,SPV,R2,adjR2,CV_R2,significant
outfield only,Base + pass accuracy,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + pass_pct,5,129,25.8,0.464,0.433,0.391,"ucl_stage_ord, log_club_ig"
outfield only,Base + goals per 90,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + goals_p90,5,129,25.8,0.47,0.44,0.343,"ucl_stage_ord, log_club_ig"
outfield only,Base + shots and fouled,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + fouled,6,129,21.5,0.54,0.509,0.471,"log_club_ig, shots_pg"
outfield only,Base + shots and crosses,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + crosses,6,129,21.5,0.539,0.508,0.469,"ucl_stage_ord, log_club_ig, shots_pg"
outfield only,Base + shots and dribbles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + dribbles,6,129,21.5,0.541,0.51,0.463,"log_club_ig, shots_pg"
outfield only,Base + long balls and crosses,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + long_balls + crosses,6,129,21.5,0.482,0.448,0.413,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Base + shots and long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls,6,129,21.5,0.562,0.533,0.494,"ucl_stage_ord, log_club_ig, shots_pg, long_balls"
outfield only,"Base + shots, long balls and fouled",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + fouled,7,129,18.4,0.567,0.534,0.488,"log_club_ig, shots_pg, long_balls"
outfield only,"Base + shots, long balls and crosses",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + crosses,7,129,18.4,0.562,0.529,0.486,"ucl_stage_ord, log_club_ig, shots_pg, long_balls"
outfield only,"Base + shots, long balls and dribbles",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + dribbles,7,129,18.4,0.568,0.536,0.48,"log_club_ig, shots_pg, long_balls"
outfield only,"Base + shots, long balls and key passes",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + key_passes,7,129,18.4,0.562,0.529,0.483,"ucl_stage_ord, log_club_ig, shots_pg, long_balls"
outfield only,"Base + shots, long balls, tackles and interceptions",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + tackles + interceptions,8,129,16.1,0.563,0.526,0.483,"ucl_stage_ord, log_club_ig, shots_pg, long_balls"
