player_name,position_group,club_2024_25,league_2024_25,nationality,Whoscored_Rating,log_attention,perf_z,group
Hugo Ekitiké,Forward,Eintracht Frankfurt,Bundesliga,France,7.31,15.10023609475955,0.10408051894191163,Underrated Performers
Jérémy Doku,Forward,Manchester City,Premier League,Belgium,7.11,15.153608403670436,-0.45819354890519454,Underrated Performers
Kenan Yildiz,Midfielder,Juventus,Serie A,Turkey,7.01,15.39710933268584,-0.01790207096161484,Underrated Performers
Nick Woltemade,Forward,Stuttgart,Bundesliga,Germany,6.84,14.011942099076569,-1.2172635404987917,Squad Players
Tijjani Reijnders,Midfielder,AC Milan,Serie A,Netherlands,6.99,14.474623591851314,-0.10562221867351508,Underrated Performers
Dean Huijsen,Defender,Bournemouth,Premier League,Spain,6.93,15.517772835851977,0.354236171523957,Underrated Performers
Antoine Griezmann,Forward,Atletico Madrid,La Liga,France,6.83,17.478026811707814,-1.2453772438911466,Fan Favourites
Joan García,Goalkeeper,Espanyol,La Liga,Spain,6.94,14.978042426265175,1.2742964528319274,Underrated Performers
Enzo Fernández,Midfielder,Chelsea,Premier League,Argentina,6.95,16.409428999381557,-0.28106251409731947,Fan Favourites
Hakan Çalhanoğlu,Midfielder,Inter Milan,Serie A,Turkey,7.13,15.692980182960707,0.5084188153097983,Underrated Performers
Estêvão,Midfielder,Palmeiras,Brazil Serie A,Brazil,7.38,15.446282669337744,1.6049206617085747,Top Stars
Phil Foden,Midfielder,Manchester City,Premier League,England,6.75,16.332752411122467,-1.1582639912163413,Fan Favourites
Fermín López,Midfielder,Barcelona,La Liga,Spain,6.68,15.743536883355993,-1.465284508208,Fan Favourites
Bernardo Silva,Midfielder,Manchester City,Premier League,Portugal,6.91,15.486634364160585,-0.4565028095211238,Fan Favourites
Kevin De Bruyne,Midfielder,Manchester City,Premier League,Belgium,6.97,17.0834242115686,-0.1933423663854192,Fan Favourites
Dani Olmo,Midfielder,Barcelona,La Liga,Spain,7.02,15.604288921442137,0.02595800289433528,Underrated Performers
João Pedro,Forward,Brighton,Premier League,Brazil,6.89,14.80941508084996,-1.0766950235370152,Squad Players
Theo Hernández,Defender,AC Milan,Serie A,France,6.92,15.358733024007261,0.299354511147007,Underrated Performers
Mikel Oyarzabal,Forward,Real Sociedad,La Liga,Spain,6.46,12.944338974605055,-2.285584269408297,Squad Players
Daniel Muñoz,Defender,Crystal Palace,Premier League,Columbia,7.11,13.830923171076751,1.3421060583090811,Underrated Performers
André-Frank Zambo Anguissa,Midfielder,Napoli,Serie A,Cameroon,6.98,12.896716695872,-0.14948229252946518,Squad Players
Granit Xhaka,Midfielder,Bayer Leverkusen,Bundesliga,Switzerland,6.93,15.087981191263834,-0.3687826618092236,Underrated Performers
Nico Paz,Midfielder,Como,Serie A,Argentina,7.12,15.013729842492692,0.4645587414538482,Underrated Performers
Reece James,Defender,Chelsea,Premier League,England,6.54,15.088448073380661,-1.7861485831771362,Squad Players
Giorgian de Arrascaeta,Midfielder,Flamengo,Brazil Serie A,Uruguay,7.26,15.98787454471372,1.0785997754371615,Top Stars
Riccardo Calafiori,Defender,Arsenal,Premier League,Italy,6.65,14.684166557900014,-1.1824503190306719,Squad Players
Mikel Merino,Midfielder,Arsenal,Premier League,Spain,6.8,14.31893687424832,-0.9389636219365868,Squad Players
Mile Svilar,Goalkeeper,Roma,Serie A,Serbia,6.85,12.73441003928723,0.5263398392131855,Squad Players
Miloš Kerkez,Defender,Bournemouth,Premier League,Hungary,6.77,14.547159443252884,-0.5238703945072622,Squad Players
